latitude,longitude,label,temp_c,rh,wind_ms,rain_mm,NDVI,Elevation,Slope,Month,DayOfYear
19.02128992,84.39404348,1,30.268,67.741,1.589,0.567,0.557,546,18.973,5,139
18.93122054,84.34118529,1,33.288,51.64,1.895,1.562,0.632,691,10.814,6,158
18.99931993,83.33312969,1,23.75,35.682,0.229,0.012,0.617,804,23.186,3,62
19.19096764,84.13282042,1,25.74,44.109,0.606,0.012,0.387,892,18.77,3,68
19.91300757,84.25322507,1,26.853,40.623,0.57,0.001,0.402,602,10.389,3,79
19.21184961,84.10222653,1,27.267,52.289,1.203,0.024,0.427,568,26.429,3,81
18.84944955,83.21861106,1,27.886,55.349,1.013,0.391,0.461,436,16.768,3,82
19.79894823,83.90370289,1,26.301,56.079,0.95,3.817,0.328,899,16.943,3,83
18.86288036,83.80564726,1,29.749,54.651,1.478,0.003,0.426,667,24.108,3,87
18.6134873,82.42395912,1,28.733,37.781,1.672,0.003,0.498,816,16.423,3,87
19.07630185,84.4161517,1,27.058,60.089,1.021,1.807,0.552,708,17.251,3,88
19.21080172,83.98590642,1,28.677,48.228,1.537,0.013,0.421,418,13.959,3,88
19.19725943,84.05007734,1,28.485,48.76,1.523,0.001,0.43,458,35.389,3,89
19.17693039,83.95760896,1,28.485,48.76,1.523,0.001,0.437,191,1.351,3,89
20.30114111,83.79557861,1,30.245,34.3,1.666,0.001,0.429,656,11.202,3,89
19.78936116,84.11258502,1,27.405,48.389,0.588,0.521,0.444,882,22.497,4,91
18.49394771,82.3252703,1,29.18,40.931,1.398,0.001,0.468,622,17.493,4,93
19.9615984,83.9448916,1,29.643,39.241,1.811,0.002,0.483,1053,18.266,4,94
19.6203211,83.91763312,1,29.793,47.597,1.413,0.002,0.482,386,13.646,4,99
19.72988121,83.97469178,1,28.614,45.272,1.453,0.002,0.394,616,35.98,4,99
19.89184022,83.50614727,1,30.546,39.883,1.662,0.002,0.464,602,19.416,4,99
18.77615084,83.1320287,1,27.503,49.723,0.916,0.003,0.651,1080,19.127,4,99
18.34801917,82.20761246,1,29.897,48.726,0.919,0.003,0.462,597,20.118,4,99
19.90058898,83.93448852,1,29.874,41.622,1.409,0.007,0.469,983,24.767,4,100
22.17394125,85.28558276,1,32.357,29.978,1.469,0.002,0.371,384,14.751,4,100
19.38577238,83.18850767,1,28.083,52.453,0.777,3.851,0.492,650,17.679,4,103
18.81299194,83.1866839,1,28.842,56.223,0.72,1.167,0.597,593,20.735,4,104
17.80803987,81.87951626,1,27.014,55.678,1.257,0.223,0.554,878,19.267,4,104
18.118099,81.97971226,1,29.536,52.972,0.919,0.058,0.483,885,15.862,4,104
19.76711025,83.91580043,1,28.538,45.387,0.91,0.401,0.457,811,37.272,4,104
19.37410738,83.94805757,1,29.811,47.562,1.124,0.227,0.553,602,16.272,4,104
19.86123295,83.9370748,1,28.522,45.65,1.142,0.055,0.349,848,19.162,4,105
19.97118992,83.62518298,1,29.029,44.046,0.913,0.106,0.577,674,13.12,4,105
20.2192408,83.71214437,1,30.891,35.608,2.015,0.029,0.479,596,14.552,4,107
19.89336078,83.90120579,1,28.341,50.661,1.886,1.368,0.498,766,4.816,4,108
19.89295946,83.90175426,1,28.341,50.661,1.886,1.368,0.513,774,18.195,4,108
21.14547189,85.74173542,1,31.127,59.507,1.235,0.469,0.707,671,7.57,4,118
21.56073905,85.32145623,1,32.273,42.652,1.212,0.033,0.5,640,17.726,4,120
18.09037231,81.96946079,1,29.114,69.981,0.864,1.254,0.528,650,16.076,4,120
20.18614981,82.4335774,1,32.216,37.731,2.765,0.003,0.526,631,7.557,5,123
19.23600902,84.35861146,1,29.011,70.781,2.648,0.01,0.573,1051,7.094,5,125
19.79447129,83.24804113,1,31.835,48.356,1.792,0.062,0.542,872,26.345,5,126
19.91310122,83.44862487,1,33.071,43.874,1.417,0.001,0.58,704,29.135,5,128
21.72091888,85.20767335,1,32.122,47.161,1.805,0.059,0.568,664,14.167,5,131
22.69261943,85.33589034,1,34.066,29.796,0.755,0.034,0.466,686,12.032,5,131
19.5262519,83.13775418,1,30.143,36.151,1.515,0.002,0.462,781,6.73,5,136
19.94803827,83.63770859,1,31.018,49.586,2.238,0.179,0.593,726,15.267,5,137
19.36657149,83.31005831,1,33.296,41.739,0.893,0.001,0.539,485,17.379,5,142
18.81466856,83.12856397,1,26.333,47.093,1,0.003,0.386,729,23.625,3,86
19.77788789,83.83862231,1,30.559,34.136,0.896,0,0.387,871,13.906,3,87
19.59778034,83.97535618,1,29.841,38.785,1.015,0,0.561,635,26.536,3,87
